Case Ref No,Industry,LGA,WSP,Received Date,Finalisation Date,Offences,Finalisation Reason
00001-2017,Crop / horticulture,Moree Plains,Gwydir Unregulated and Alluvial Water Sources ,Jan-17,Dec-18,"60B - Contravention of terms and conditions of access licence, 91G - Contravention of terms and conditions of approval",No breach – other
00001-2018,,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Jan-18,May-18,60D - Taking water otherwise than from a nominated water supply work,Other (details in running log)
00001-2019,Crop / horticulture,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Jan-19,Jan-19, ,Duplicate Entry - refer to linked notification
00002-2017,,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Jan-17,Sep-18,91E - Carrying out controlled activity,No further action required
00002-2019,Irrigation,Tamworth Regional,Murrumbidgee Unregulated and Alluvial Water Sources ,Dec-18,Sep-19,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00002-2020,Development,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Dec-19,Nov-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00003-2018,,Inverell,Gwydir Unregulated and Alluvial Water Sources ,Jan-18,Aug-18,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00003-2019,Unknown,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Dec-18,May-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00003-2020,Irrigation,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Dec-19,Jul-20,"60B - Contravention of terms and conditions of access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91D(1)-tier 2 - Constructing or using a flood work without a flood work approval",No breach - insufficient evidence
00004-2018,Crop / horticulture,Griffith,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-18,Dec-18,91D - Constructing or using flood work,Breach – enforcement response completed
00004-2019,Unknown,Walgett,Intersecting Streams Unregulated and Alluvial Water Sources ,Dec-18,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Low priority
00005-2019,Crop / horticulture,Inverell,Gwydir Unregulated and Alluvial Water Sources ,Jan-19,Mar-19,"60B - Contravention of terms and conditions of access licence, Aquifer Interference Activity",Duplicate Entry - refer to linked notification
00005-2020,Irrigation,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Dec-19,Jan-20,"60C - Taking water for which there is no, or insufficient, water allocation",Lack of information provided
00006-2019,Unknown,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Dec-18,Jul-19,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Breach – enforcement response completed
00007-2016,Unknown,Maitland,Hunter Unregulated and Alluvial Water Sources ,Jan-16,Oct-18,91E - Carrying out controlled activity,No breach – other
00007-2018,,Goulburn Mulwaree,Greater Metropolitan Region Unregulated River Water Sources ,Jan-18,Dec-18,91B - Constructing or using water supply work,No breach – other
00007-2019,Unknown,Inverell,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jan-19,Jan-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence",No breach – other
00007-2020,Unknown,Central Coast,Central Coast Unregulated Water Sources ,Nov-19,May-20,60D - Taking water otherwise than from a nominated water supply work,No breach – other
00008-2017,,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Jan-17,Jan-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00008-2019,Crop / horticulture,Richmond Valley,                                                           ,Jan-19,Nov-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence",Breach – enforcement response completed
00008-2020,Individual,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,May-20,"60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00009-2019,Crop / horticulture,Moree Plains,NSW Border Rivers Unregulated and Alluvial Water Sources ,Dec-18,Feb-20,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",No breach – other
00010-2018,,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Jan-18,May-18,60B - Contravention of terms and conditions of access licence,Lack of information provided
00010-2019,Unknown,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Jan-19,Mar-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",No breach – referred to another agency
00010-2020,Irrigation,Byron,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Jan-20, ,Low priority
00011-2019,Unknown,Bogan,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jan-19,Oct-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach - insufficient evidence
