Case Ref No,Advisory Letter,Directions,Formal Warning,PINS,Prosecution
00001-2018,1,,,,
00002-2017,1,,,,
00002-2020,,,1,,
00004-2018,2,,,,
00006-2019,1,,,,
00007-2018,2,,,,
00008-2019,1,,,,
00012-2018,,,1,,
00014-2018,1,,,,
00017-2018,2,2,,1,
00017-2020,1,,,,
00018-2016,1,,,,
00018-2018,,,3,,
00019-2019,,,1,,
00022-2018,1,,,,
00024-2019,1,,,,
00025-2018,1,,,,
00025-2019,1,,2,,
00026-2017,,2,,,
00027-2018,,2,,2,
00028-2019,2,,,,
00030-2020,4,2,2,,
00031-2017,2,1,,,
00032-2020,,,1,,
00033-2019,2,,,,
00033-2020,,,1,,
00034-2019,,17,,,
00035-2020,,,1,,
00036-2017,,1,1,1,
00036-2018,2,,,1,
00037-2019,,,1,,
00038-2018,2,,,,
00039-2020,1,,,,
00041-2019,1,,,,
00041-2020,,,1,1,
00042-2017,1,,,,
00042-2019,1,,,,
00044-2020,,1,,1,
00046-2016,2,,,,
00046-2018,2,,,,
00046-2019,,1,,2,
00048-2018,1,,,,
00050-2019,,,1,2,
00051-2018,1,,,,
00051-2020,,1,,,
00053-2019,,,1,,
00053-2020,,,,1,
00055-2010,1,,,,
00055-2020,1,,,,
00060-2015,1,,,,
00060-2018,1,,,,
00061-2018,,2,,1,
00061-2019,1,,,,
00062-2017,1,,3,,
00065-2018,1,,,,
00065-2019,1,,,,
00066-2016,,,1,,
00066-2020,,,1,,
00067-2018,1,,,,
00067-2020,1,,,,
00069-2017,1,1,,,
00069-2018,,,,,
00069-2020,,,1,,
00070-2019,,1,1,2,
00071-2020,,,2,,
00074-2019,,,1,,
00074-2020,1,,,,
00075-2015,1,,,,
00075-2020,,1,,,
00076-2019,,,1,,
00077-2017,,1,,,
00077-2018,,2,,2,
00078-2018,2,,,,
00078-2019,,1,,1,
00078-2020,1,,,,
00079-2017,2,,,,
00079-2019,1,,,,
00080-2019,,,1,,
00081-2018,1,,,,
00082-2019,1,,,,
00082-2020,,,,2,
00083-2019,,,1,,
00084-2018,,2,,,
00084-2019,1,,,,
00085-2019,,,1,,
00086-2015,2,3,2,,
00087-2016,1,,,,
00087-2017,,,,,
00087-2018,1,,,,
00087-2020,5,6,,1,
00088-2017,,3,,,
00088-2018,,,,1,
00092-2019,,,1,,
00093-2019,1,,,,
00094-2019,,,,2,
00096-2019,1,,,,
00097-2019,,,2,,
00098-2019,,,1,,
00101-2018,,,,,
00101-2019,,,1,,
00103-2018,1,,,,
00103-2019,,1,,,
00106-2020,,,,3,
00107-2018,1,,,,
00108-2015,,2,,1,
00108-2020,,,1,,
00109-2018,2,,,,
00110-2018,1,,,,
00111-2018,1,,,,
00111-2020,1,,,,
00112-2017,,2,,,
00112-2019,1,,,,
00112-2020,1,,,,
00113-2019,,1,1,,
00114-2018,1,,,,
00114-2019,3,,,,
00116-2017,1,,,,
00116-2018,1,,,,
00118-2020,,,1,,
00119-2018,2,,,,
00120-2019,1,,,,
00121-2017,2,,,,
00121-2018,,2,1,1,
00121-2019,,,,1,
00123-2019,,,1,,
00123-2020,1,,,2,
00124-2017,,1,,,
00124-2019,2,,,,
00126-2019,1,,,,
